Organization Name,Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2),Group's Registration Status,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
"""RSO """"A""""	Active Tier 1 (20 hours)""",Not Submitted,2,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/berkeleyanjna,dup - PARENT ORGANIZATION
"""RSO """"B""""	Active Tier 2 (40 hours)""",Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/berkeleyanjna,dup - PARENT ORGANIZATION
(RE)generation: Indigenous Social Welfare Caucus,Approved,4,2,Registered Student Organizations,http://callink.berkeley.edu/organization/anime,Cultural & Identity/Cultural & Ethnic Category (undergraduate) - Advised by Marissa Reynoso
[make]new christian fellowship,Approved,5,3,Registered Student Organizations,http://callink.berkeley.edu/organization/make,Spiritual Organizations Category (undergraduate) - Advised by Millicent Morris Chaney
100 Strong,Approved,5,10,Registered Student Organizations,http://callink.berkeley.edu/organization/100strong,Service Group Category (undergraduate) - Advised by Millicent Morris Chaney
180 Degrees Consulting at Berkeley,Approved,7,4,Registered Student Organizations,http://callink.berkeley.edu/organization/180dc,Service Group Category (undergraduate) - Advised by Millicent Morris Chaney
1947 Partition Archive at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/1947partitionarchive,Political & Advocacy Organization Category (undergraduate) - Advised by Millicent Morris Chaney
2011 Western Regional LGBTQIA Conference,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/LGBTQIAConference,Service Group Category (undergraduate) - Advised by Millicent Morris Chaney
2048 Project for Human Rights,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/2048project,Political & Advocacy Organization Category (undergraduate) - Advised by Millicent Morris Chaney
24 Hour Theatre,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/24ht,Performing Arts Organizations Category (undergraduate) - Advised by Lyone Conner
3DMC,Approved,5,3,Registered Student Organizations,http://callink.berkeley.edu/organization/3dmc,Media & Film Organization Category (undergraduate) - Advised by Jenny McNulty
475 nm: Perceptions on Mental Illness,Not Submitted,1,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,http://callink.berkeley.edu/organization/475perceptions,Health & Wellness Category - Advised by Sarah O'Sullivan
