Organization Name,2018-19 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2),Group's Registration Status,Eligibility for 2018-19 Re-Registration during Spring Re-Reg cycle - Jan. 9 to Feb. 6,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
(Mindful) at Berkeley,Approved,4,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/mindfulatberkeley,LEAD Center Category: Health and Wellness- Advised by Lyone Conner
(RE)generation: Indigenous Social Welfare Caucus,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/REgeneration,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
[make]new christian fellowship,Approved,9,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/makenew,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
#BUILTBYGIRLS @ Berkeley,Not Submitted,3,1,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,,https://callink.berkeley.edu/actioncenter/organization/BUILTBYGIRLSatBerkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
#Downcrew,Approved,8,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/downcrew,LEAD Center Category: Performing Arts Organization - Advised by Lyone Conner
100 Strong: Female Mentorship and Leadership Development,Approved,7,6,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/100strong,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
180 Degrees Consulting at Berkeley,Approved,6,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/180dc,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
1947 Partition Archive at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/1947partitionarchive,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
2011 Western Regional LGBTQIA Conference,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/LGBTQIAConference,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
2048 Project for Human Rights,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/2048project,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
24 Hour Theatre,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/24ht,LEAD Center Category: Performing Arts RSO - Advised by Lyone Conner
3D Modeling and Animation at Berkeley,Approved,4,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/3D-Modeling-and-Animation-at-Berkeley,LEAD Center Category: Technology RSO - Advised by Deepak Sharma
3DMC,Approved,4,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/3dmc,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
475 nm: Perceptions on Mental Illness,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/475perceptions,LEAD Center Category: Health & Wellness RSO - Advised by Tori-Ann Porter/Lyone Conner
7 Cups at Berkeley,Approved,6,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/7cupsberkeley,LEAD Center Category: Health & Wellness - Advised by Lyone Conner
A Brighter Tomorrow,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/abrightertomorrow,LEAD Center Category: Health & Wellness RSO - Advised by Lyone Conner
"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach",Approved,4,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/astro,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
ABA,Approved,10,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/aba,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Abba Modern,Approved,5,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/abbamodern,LEAD Center Category: Performing Arts RSO - Advised by Lyone Conner
ABC Sketches,Approved,5,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/abcsketches,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Academic and Recreational Enrichment for Children,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/arec,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Academic Cultural Enrichment Coaches,Approved,7,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/ACECoaches,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
AcademyHealth at Berkeley,Not Submitted,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/AcademyHealth,LEAD Center Category: Health & Wellness RSO - Advised by Lyone Conner
Accountability and Transparency at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/accountabilityandtransparency,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Acropoiesis,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/acropoiesis,LEAD Center Category: Performing Arts RSO - Advised by Lyone Conner
Active for Alzheimer's at Berkeley,Approved,6,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/ActiveforAlzheimers,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Active Minds,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/activemindsatberkeley,LEAD Center Category: Health & Wellness RSO - Advised by Lyone Conner
acts2fellowship,Approved,6,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/acts2fellowship,LEAD Center Category: Spiritual RSO; LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Adobe at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adobe,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Adoptee University,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/AdopteeUniversity,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Adoptees United,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adopteesunited,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
Adrenaline Rush Project at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adrenalinerushproject,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
Adrenaline Slacklines at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adrenalineslacklines,LEAD Center Category: Recreational Organization - Advised by Lyone Conner [Interim]
Adventist Christian Fellowship,Approved,4,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/acf,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Adventist Student Movement,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adventiststudentmovement,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Adventurers Society at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adventurerssociety,LEAD Center Category: Recreational RSO - Advised by Tori-Ann Porter/Lyone Conner
Aerospace Initiative for Manufacturing,Not Submitted,2,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/aerospaceinitiativeformanufacturing,LEAD Center Category: Technology RSO - Advised by Deepak Sharma
Aerospace SAE,Approved,7,4,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/asae,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Aesthetics at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/Aesthetics,LEAD Center Category: Health & Wellness RSO - Advised by Tori-Ann Porter/Lyone Conner
Affirm- Undergraduate Journal.,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/affirm,LEAD Center Category: Publications RSO - Advised by Jenny McNulty
Afghan Student Association,Approved,9,5,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/afghans,LEAD Center Category: Cultural & Identity/International RSO - Advised by Lien Truong
Afghans For Peace,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/afghansforpeace,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
African American Student Leadership Team,Approved,8,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/africanamericanstudentleadershipteam,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
African Arts Society,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/africanartssociety,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
African Diaspora Studies Student Collective,Not Submitted,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/africandiasporastudiesstudentcollective,LEAD Center Category: Departmental RSO - Advised by Deepak Sharma
African-American Law and Policy Report,Not Submitted,1,2,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/bjalp,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
African-American Student Association,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/african-americanstudentassociation,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
AFX Dance,Approved,8,7,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/afxdance,LEAD Center Category: Performing Arts RSO - Advised by Lyone Conner
Afya @ Berkeley,Not Submitted,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/afyaberkeley,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Agape at Berkeley,Not Submitted,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/AgapeatBerkeley,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Ahlul Bayt Society of Berkeley,Not Submitted,1,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/ahlulbaytsociety,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Lien Truong
Ahmadiyya Muslim Student Association,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/calamsa,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Aid to Farmworkers,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/AidToFarmworkers,LEAD Center Category: Publications RSO - Advised by Jenny McNulty
AidGrade at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/aidgrade,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
AIESEC at Berkeley Local Committee,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/aiesec,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Air Force ROTC,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/airforcerotcs85thcadetwing,
Alary Language,Not Submitted,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/alarylanguage,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Albanian Association at Berkeley,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/AAB,LEAD Center Category: Cultural & Identity/International RSO - Advised by Lien Truong
Aletheia Collective,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/aletheia,LEAD Center Category: Spiritual RSO - Advised by Deepak Sharma
Align: Undergraduate Society for Computational Biology,Approved,4,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/PendingSignatories,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Alliance for Diversity in Science and Engineering Chapter at Berkeley,Approved,5,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/Alliance_for_Diversity_in_Science_and_Engineering,LEAD Center Category: Academic Organization - Advised by Deepak Sharma
Alliance for Sustainable Economies,Approved,4,2,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/ASE,LEAD Center Category: Academic Organization - Advised by Deepak Sharma
Alpha Beta Consulting,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/alphabetaconsulting,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Alpha Beta Pledge Class of Spring 2011,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/alphabetapledgeclassofspring2011,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Alpha Beta Zeta Professional Sorority,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/alphabetazeta,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Alpha Chi Sigma Professional Chemistry Fraternity,Approved,6,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/alpha-chi-sigma,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Alpha Delta Chi,Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/adxchristiansorority,
"Alpha Epsilon Delta, Pre-medical Honor Society",Not Submitted,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,NOT ELIGIBLE,https://callink.berkeley.edu/actioncenter/organization/alphaepsilondelta,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
"Alpha Epsilon Zeta Fraternity, Inc.",Approved,4,3,Registered Student Organizations,,https://callink.berkeley.edu/actioncenter/organization/AEZ,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
