Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
#BUILTBYGIRLS @ Berkeley,Inprogress,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/BUILTBYGIRLSatBerkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
#Downcrew,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/downcrew,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
(Mindful) at Berkeley,Inprogress,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/mindfulatberkeley,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
(RE)generation: Indigenous Social Welfare Caucus,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/REgeneration,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
[make]new christian fellowship,Approved,10,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/makenew,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
100 Strong: Female Mentorship and Leadership Development,Approved,1,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/100strong,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
180 Degrees Consulting at Berkeley,Approved,5,5,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/180dcberkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
1947 Partition Archive at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/1947partitionarchive,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
2048 Project for Human Rights,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/2048project,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
24 Hour Theatre,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/24ht,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
30 Minutes,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/30minutes,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
3D Modeling and Animation at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3D-Modeling-and-Animation-at-Berkeley,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
3DMC,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3dmc,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
475 nm: Perceptions on Mental Illness,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/475perceptions,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
7 Cups at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/7cupsberkeley,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
A Better Way at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ABetterWayBerkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
A Brighter Tomorrow,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/abrightertomorrow,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
"A.S.T.R.O - Astronomer's Society for Teaching, Recreation and Outreach",Inprogress,1,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/astro,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
