Org ID,Organization Name,All Registration Steps Completed before the Deadline?,Reg Form Progress,"Number of ""Pending bCourse"" (Completed Signatory Agreement but not bCourse)","Number of finalized Signatories (Completed both Agreement and bCourse 
(Need 4 to 8)",Org Type,Callink page,Callink Advisor
236738,#BUILTBYGIRLS @ Berkeley,No,Not Started,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/BUILTBYGIRLSatBerkeley,Deepak Sharma
91590,#Downcrew ,No,Approved,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/downcrew,Alejandro Muro
220484,(Mindful) at Berkeley,No,Not Started,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/mindfulatberkeley,Alejandro Muro
145543,(RE)generation: Indigenous Social Welfare Caucus  ,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/REgeneration,Alejandro Muro
94214,100 Strong: Female Mentorship and Leadership Development,No,Not Started,0,1,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/100strong,Millicent Morris-Chaney
136978,180 Degrees Consulting at Berkeley ,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/180dcberkeley,Millicent Morris-Chaney
91740,1947 Partition Archive at Berkeley,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/1947partitionarchive,Millicent Morris-Chaney
46634,2048 Project for Human Rights,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/2048project,Millicent Morris-Chaney
144501,24 Hour Theatre,No,Not Started,0,0,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS,https://callink.berkeley.edu/actioncenter/organization/24ht,Alejandro Muro
302227,30 Minutes,No,Inprogress,0,0,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/30minutes,Alejandro Muro
222008,3D Modeling and Animation at Berkeley,Yes,Approved,0,10,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3D-Modeling-and-Animation-at-Berkeley,Deepak Sharma
92133,3DMC,Yes,Approved,0,4,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/3dmc,Alejandro Muro
